DATA,DATA_HORA_COMPARADOR,TEMPERATURA,PRECIPITACAO
2022-05-14 14:00:00,2022-05-14T14:00:00,20.0,0.0
2022-05-14 15:00:00,2022-05-14T15:00:00,22.1,0.0
2022-05-14 16:00:00,2022-05-14T16:00:00,22.8,0.0
2022-05-14 17:00:00,2022-05-14T17:00:00,23.1,0.0
2022-05-14 18:00:00,2022-05-14T18:00:00,23.1,0.0
2022-05-14 19:00:00,2022-05-14T19:00:00,22.5,0.0
2022-05-14 20:00:00,2022-05-14T20:00:00,21.1,0.0
2022-05-14 21:00:00,2022-05-14T21:00:00,18.5,0.0
2022-05-14 22:00:00,2022-05-14T22:00:00,16.7,0.0
2022-05-14 23:00:00,2022-05-14T23:00:00,15.9,0.0
2022-05-15 00:00:00,2022-05-15T00:00:00,15.2,0.0
2022-05-15 01:00:00,2022-05-15T01:00:00,14.5,0.0
2022-05-15 02:00:00,2022-05-15T02:00:00,14.2,0.0
2022-05-15 03:00:00,2022-05-15T03:00:00,13.5,0.0
2022-05-15 04:00:00,2022-05-15T04:00:00,13.3,0.0
2022-05-15 05:00:00,2022-05-15T05:00:00,12.9,0.0
2022-05-15 06:00:00,2022-05-15T06:00:00,12.5,0.0
2022-05-15 07:00:00,2022-05-15T07:00:00,12.4,0.0
2022-05-15 08:00:00,2022-05-15T08:00:00,12.6,0.0
2022-05-15 09:00:00,2022-05-15T09:00:00,13.0,0.0
2022-05-15 10:00:00,2022-05-15T10:00:00,14.5,0.0
2022-05-15 11:00:00,2022-05-15T11:00:00,15.8,0.0
2022-05-15 12:00:00,2022-05-15T12:00:00,17.1,0.0
2022-05-15 13:00:00,2022-05-15T13:00:00,18.2,0.0
2022-05-15 14:00:00,2022-05-15T14:00:00,18.6,0.0
2022-05-15 15:00:00,2022-05-15T15:00:00,19.0,0.0
2022-05-15 16:00:00,2022-05-15T16:00:00,18.7,0.1
2022-05-15 17:00:00,2022-05-15T17:00:00,18.7,0.1
2022-05-15 18:00:00,2022-05-15T18:00:00,17.9,0.7
2022-05-15 19:00:00,2022-05-15T19:00:00,17.6,0.1
2022-05-15 20:00:00,2022-05-15T20:00:00,17.1,0.0
2022-05-15 21:00:00,2022-05-15T21:00:00,15.9,0.0
2022-05-15 22:00:00,2022-05-15T22:00:00,15.2,0.0
2022-05-15 23:00:00,2022-05-15T23:00:00,15.2,0.0
2022-05-16 00:00:00,2022-05-16T00:00:00,15.4,0.1
2022-05-16 01:00:00,2022-05-16T01:00:00,15.6,0.2
2022-05-16 02:00:00,2022-05-16T02:00:00,15.1,0.0
2022-05-16 03:00:00,2022-05-16T03:00:00,14.8,0.0
2022-05-16 04:00:00,2022-05-16T04:00:00,14.6,0.0
2022-05-16 05:00:00,2022-05-16T05:00:00,14.7,0.0
2022-05-16 06:00:00,2022-05-16T06:00:00,14.7,0.0
2022-05-16 07:00:00,2022-05-16T07:00:00,14.7,0.0
2022-05-16 08:00:00,2022-05-16T08:00:00,14.7,0.0
2022-05-16 09:00:00,2022-05-16T09:00:00,15.3,0.0
2022-05-16 10:00:00,2022-05-16T10:00:00,15.7,0.0
2022-05-16 11:00:00,2022-05-16T11:00:00,15.9,0.0
2022-05-16 12:00:00,2022-05-16T12:00:00,16.1,0.1
2022-05-16 13:00:00,2022-05-16T13:00:00,16.6,0.1
2022-05-16 14:00:00,2022-05-16T14:00:00,17.4,0.2
2022-05-16 15:00:00,2022-05-16T15:00:00,19.7,0.1
2022-05-16 16:00:00,2022-05-16T16:00:00,20.9,0.2
2022-05-16 17:00:00,2022-05-16T17:00:00,21.1,0.3
2022-05-16 18:00:00,2022-05-16T18:00:00,20.7,0.3
2022-05-16 19:00:00,2022-05-16T19:00:00,20.9,0.2
2022-05-16 20:00:00,2022-05-16T20:00:00,20.2,0.0
2022-05-16 21:00:00,2022-05-16T21:00:00,18.1,0.0
2022-05-16 22:00:00,2022-05-16T22:00:00,16.5,0.0
2022-05-16 23:00:00,2022-05-16T23:00:00,16.1,0.0
2022-05-17 00:00:00,2022-05-17T00:00:00,15.6,0.0
2022-05-17 01:00:00,2022-05-17T01:00:00,15.3,0.0
2022-05-17 02:00:00,2022-05-17T02:00:00,15.0,0.0
2022-05-17 03:00:00,2022-05-17T03:00:00,14.9,0.1
2022-05-17 04:00:00,2022-05-17T04:00:00,14.6,0.2
2022-05-17 05:00:00,2022-05-17T05:00:00,14.4,0.0
2022-05-17 06:00:00,2022-05-17T06:00:00,13.9,0.0
2022-05-17 07:00:00,2022-05-17T07:00:00,13.9,0.0
2022-05-17 08:00:00,2022-05-17T08:00:00,13.3,0.0
2022-05-17 09:00:00,2022-05-17T09:00:00,13.7,0.1
2022-05-17 10:00:00,2022-05-17T10:00:00,14.6,0.0
